Time in Milliseconds, Duration from start, Key
1588716757765,0,a
1588716759780,2015,a
1588716761849,4084,a
1588716763677,5912,Enter
1588716765627,7862,Enter
1588716767050,9285,h
1588716767186,9421,i
1588716767286,9521, 
1588716767389,9624,t
1588716767495,9730,h
1588716767535,9770,e
1588716767682,9917,r
1588716767764,9999,e
1588716767850,10085, 
1588716767932,10167,i
1588716768137,10372,'
1588716768234,10469,m
1588716768294,10529, 
1588716768390,10625,g
1588716768490,10725,o
1588716768547,10782,n
1588716768707,10942,n
1588716768848,11083,a
1588716768916,11151, 
1588716769053,11288,t
1588716769145,11380,y
1588716769237,11472,p
1588716769331,11566,e
1588716769425,11660, 
1588716769547,11782,a
1588716769652,11887,n
1588716769745,11980,d
1588716769852,12087, 
1588716769973,12208,s
1588716770033,12268,e
1588716770216,12451,e
1588716770401,12636, 
1588716770530,12765,f
1588716770693,12928, 
1588716770822,13057,i
1588716770931,13166, 
1588716771115,13350,c
1588716771283,13518,a
1588716771381,13616,n
1588716771436,13671, 
1588716771571,13806,a
1588716771658,13893,l
1588716771732,13967,i
1588716771864,14099,g
1588716771950,14185,n
1588716772020,14255, 
1588716772133,14368,t
1588716772201,14436,h
1588716772290,14525,i
1588716772343,14578,s
1588716772441,14676, 
1588716772535,14770,w
1588716772626,14861,o
1588716772725,14960,w
1588716772831,15066, 
1588716772940,15175,l
1588716773027,15262,e
1588716773091,15326,t
1588716773197,15432,'
1588716773290,15525,s
1588716773360,15595, 
1588716773490,15725,m
1588716773550,15785,a
1588716773665,15900,k
1588716773757,15992,e
1588716773877,16112, 
1588716774022,16257,t
1588716774115,16350,h
1588716774210,16445,i
1588716774310,16545,s
1588716774399,16634, 
1588716774765,17000,A
1588716775086,17321, 
1588716775226,17461,L
1588716775432,17667,O
1588716775532,17767,N
1588716775623,17858,G
1588716775798,18033, 
1588716776424,18659,Shift
1588716776911,19146,p
1588716776986,19221,a
1588716777051,19286,s
1588716777225,19460,s
1588716777431,19666,a
1588716777650,19885,g
1588716777855,20090, 
1588716777975,20210,e
1588716778757,20992,a
1588716778877,21112,n
1588716779006,21241,d
1588716779132,21367, 
1588716779382,21617,s
1588716779461,21696,e
1588716779647,21882,e
1588716779766,22001, 
1588716779842,22077,h
1588716779917,22152,o
1588716779925,22160,w
1588716780045,22280, 
1588716780122,22357,t
1588716780182,22417,h
1588716780249,22484,i
1588716780347,22582,s
1588716780493,22728, 
1588716780594,22829,s
1588716780761,22996,o
1588716781372,23607,f
1588716781600,23835,t
1588716781718,23953,w
1588716781868,24103,a
1588716781916,24151,r
1588716781997,24232,e
1588716782108,24343, 
1588716782177,24412,f
1588716782305,24540,a
1588716782382,24617,r
1588716782457,24692,e
1588716782593,24828,s
1588716782757,24992,s
1588716782905,25140,s
1588716783035,25270, 
1588716783166,25401,w
1588716783281,25516,o
1588716783569,25804,h
1588716783653,25888, 
1588716783801,26036,i
1588716783869,26104, 
1588716783961,26196,j
1588716784143,26378,u
1588716784222,26457,s
1588716784250,26485,t
1588716784349,26584, 
1588716784437,26672,t
1588716784582,26817,y
1588716784673,26908,p
1588716784681,26916,e
1588716784861,27096,s
1588716785023,27258, 
1588716785160,27395,a
1588716785232,27467,s
1588716785335,27570, 
1588716785494,27729,m
1588716785619,27854,a
1588716785660,27895,n
1588716785902,28137,y
1588716785943,28178, 
1588716786091,28326,o
1588716786165,28400,f
1588716786205,28440, 
1588716786364,28599,t
1588716786397,28632,h
1588716786558,28793, 
1588716786686,28921,e
1588716787017,29252,l
1588716787382,29617,e
1588716787448,29683,t
