Time in Milliseconds, Duration from start, Key
1588713021526,0,a
1588713024677,3151,a
1588713027629,6103,a
1588713030213,8687,Enter
1588713032911,11385,Enter
1588713035230,13704,h
1588713035342,13816,i
1588713035431,13905, 
1588713035537,14011,t
1588713035655,14129,h
1588713035718,14192,e
1588713035843,14317,r
1588713035906,14380,e
1588713036005,14479, 
1588713036122,14596,i
1588713036293,14767,'
1588713036367,14841,m
1588713036421,14895, 
1588713036530,15004,g
1588713036618,15092,o
1588713036674,15148,n
1588713036842,15316,n
1588713036950,15424,a
1588713037002,15476, 
1588713037114,15588,t
1588713037238,15712,y
1588713037321,15795,p
1588713037358,15832,e
1588713037465,15939, 
1588713037550,16024,a
1588713037666,16140,n
1588713037729,16203,d
1588713037830,16304, 
1588713037954,16428,s
1588713037998,16472,e
1588713038166,16640,e
1588713038469,16943, 
1588713038566,17040,f
1588713039038,17512, 
1588713039289,17763,i
1588713039393,17867, 
1588713039486,17960,c
1588713039626,18100,a
1588713039674,18148,n
1588713039742,18216, 
1588713039850,18324,a
1588713039922,18396,l
1588713039970,18444,i
1588713040074,18548,g
1588713040159,18633,n
1588713040234,18708, 
1588713040367,18841,t
1588713040418,18892,h
1588713040505,18979,i
1588713040569,19043,s
1588713040674,19148, 
1588713040769,19243,w
1588713040851,19325,o
1588713040954,19428,w
1588713041067,19541, 
1588713041186,19660,l
1588713041278,19752,e
1588713041338,19812,t
1588713041467,19941,'
1588713041514,19988,s
1588713041601,20075, 
1588713041698,20172,m
1588713041755,20229,a
1588713041890,20364,k
1588713041914,20388,e
1588713042066,20540, 
1588713042162,20636,t
1588713042331,20805,h
1588713042442,20916,i
1588713042763,21237,s
1588713042843,21317, 
1588713043026,21500, 
1588713043586,22060,A
1588713043741,22215, 
1588713043842,22316,L
1588713044067,22541,O
1588713044187,22661,N
1588713044299,22773,G
1588713044362,22836,Shift
1588713044402,22876, 
1588713044585,23059,p
1588713044707,23181,a
1588713044746,23220,s
1588713044907,23381,s
1588713045073,23547,a
1588713045194,23668,g
1588713045329,23803, 
1588713045361,23835,e
1588713045634,24108,a
1588713045754,24228,n
1588713045810,24284,d
1588713045922,24396, 
1588713046009,24483,s
1588713046057,24531,e
1588713046259,24733,e
1588713046378,24852, 
1588713046458,24932,h
1588713046546,25020,o
1588713046546,25020,w
1588713046658,25132, 
1588713046709,25183,t
1588713046818,25292,h
1588713046874,25348,i
1588713046922,25396,s
1588713047018,25492, 
1588713047099,25573,s
1588713047193,25667,f
1588713047202,25676,o
1588713047723,26197,t
1588713047850,26324,w
1588713048082,26556,a
1588713048155,26629,r
1588713048258,26732,e
1588713048338,26812, 
1588713048466,26940,f
1588713048646,27120,a
1588713048778,27252,r
1588713048846,27320,e
1588713049006,27480,s
1588713049166,27640,s
1588713049326,27800,s
1588713049478,27952,s
1588713049702,28176, 
1588713050183,28657,w
1588713050310,28784,o
1588713050518,28992,h
1588713050685,29159, 
