Time in Milliseconds, Duration from start, Key
1589141007130,0,a
1589141007317,187, 
1589141007644,514,a
1589141007805,675, 
1589141007971,841,a
1589141008167,1037, 
1589141008440,1310,Enter
1589141008939,1809,h
1589141009047,1917,a
1589141009181,2051,r
1589141009354,2224,r
1589141009444,2314,y
1589141009484,2354, 
1589141009603,2473,p
1589141009773,2643,o
1589141009842,2712,t
1589141010001,2871,t
1589141010203,3073,e
1589141010266,3136,r
1589141010374,3244, 
1589141010450,3320,i
1589141010566,3436,s
1589141010611,3481, 
1589141010734,3604,a
1589141010779,3649, 
1589141010885,3755,s
1589141010981,3851,e
1589141011057,3927,r
1589141011137,4007,i
1589141011245,4115,e
1589141011314,4184,s
1589141011389,4259, 
1589141011474,4344,o
1589141011561,4431,f
1589141011650,4520, 
1589141011747,4617,f
1589141011871,4741,a
1589141012000,4870,n
1589141012127,4997,t
1589141012289,5159,a
1589141012367,5237,s
1589141012473,5343,y
1589141012519,5389, 
1589141012724,5594,n
1589141012811,5681,o
1589141012872,5742,v
1589141013045,5915,e
1589141013144,6014,l
1589141013241,6111,s
1589141013341,6211, 
1589141013458,6328,w
1589141013592,6462,r
1589141013700,6570,i
1589141013788,6658,t
1589141013915,6785,t
1589141014110,6980,e
1589141014217,7087,n
1589141014274,7144, 
1589141014396,7266,b
1589141014586,7456,y
1589141014644,7514, 
1589141015034,7904,CapsLock
1589141015053,7923,b
1589141015315,8185,r
1589141015444,8314,i
1589141015700,8570,t
1589141015845,8715,i
1589141015915,8785,s
1589141016075,8945,h
1589141016111,8981, 
1589141016222,9092,a
1589141016303,9173,u
1589141016422,9292,t
1589141016488,9358,h
1589141016613,9483,o
1589141016690,9560,r
1589141016795,9665, 
1589141017235,10105,j
1589141017393,10263, 
1589141017638,10508,k
1589141017789,10659, 
1589141017961,10831,r
1589141018093,10963,o
1589141018199,11069,w
1589141018413,11283,l
1589141018510,11380,i
1589141018668,11538,n
1589141018795,11665,g
1589141018939,11809,.
1589141019009,11879, 
1589141019232,12102,CapsLock
1589141019232,12102,t
1589141019391,12261,h
1589141019509,12379,e
1589141019606,12476, 
1589141019792,12662,n
1589141019881,12751,o
1589141019953,12823,v
1589141020150,13020,l
1589141020307,13177,e
1589141020504,13374,s
1589141020644,13514, 
1589141020768,13638,c
