Time in Milliseconds, Duration from start, Key
1588745807010,0,a
1588745809137,2127,a
1588745811589,4579,a
1588745813632,6622,Enter
1588745816833,9823,n
1588745816934,9924,e
1588745817064,10054,u
1588745817231,10221,r
1588745817275,10265,a
1588745817363,10353,l
1588745817483,10473, 
1588745817669,10659,n
1588745817789,10779,e
1588745817861,10851,t
1588745817978,10968,w
1588745818077,11067,o
1588745818191,11181,r
1588745818291,11281,k
1588745818424,11414,s
1588745818642,11632,comma
1588745818800,11790, 
1588745819002,11992,i
1588745819186,12176,n
1588745819563,12553, 
1588745819852,12842,p
1588745819996,12986,a
1588745820045,13035,r
1588745820227,13217,t
1588745820328,13318,i
1588745820487,13477,c
1588745820571,13561,u
1588745821172,14162,l
1588745821393,14383,a
1588745821453,14443,r
1588745821582,14572, 
1588745822154,15144,r
1588745822187,15177,e
1588745822365,15355,c
1588745822484,15474,u
1588745822570,15560,r
1588745822773,15763,r
1588745822829,15819,e
1588745822946,15936,n
1588745823053,16043,t
1588745823145,16135, 
1588745823939,16929,n
1588745824111,17101,e
1588745824240,17230,u
1588745824397,17387,r
1588745824485,17475,a
1588745824679,17669,l
1588745824800,17790, 
1588745824974,17964,n
1588745825063,18053,e
1588745825131,18121,t
1588745825256,18246,w
1588745825400,18390,o
1588745825622,18612,r
1588745825859,18849,k
1588745825984,18974,s
1588745826413,19403,comma
1588745826586,19576, 
1588745826735,19725,a
1588745827085,20075,r
1588745827109,20099,e
1588745827377,20367, 
1588745827578,20568,n
1588745827788,20778,o
1588745828008,20998,w
1588745828152,21142, 
1588745828331,21321,a
1588745828408,21398,t
1588745828549,21539, 
1588745828621,21611,t
1588745828769,21759,h
1588745828867,21857,e
1588745829028,22018, 
1588745829200,22190,c
1588745829325,22315,o
1588745829586,22576,r
1588745829598,22588,e
1588745829915,22905, 
1588745830132,23122,o
1588745830286,23276,f
1588745830500,23490, 
1588745830747,23737,t
1588745830898,23888,h
1588745830988,23978,e
1588745831103,24093, 
1588745831305,24295,l
1588745831423,24413,e
1588745831648,24638,a
1588745831712,24702,d
1588745831828,24818,i
1588745832014,25004,n
1588745832103,25093,g
1588745832225,25215, 
1588745832665,25655,a
1588745833008,25998,p
1588745833145,26135,p
1588745833302,26292,r
1588745833551,26541,o
1588745833772,26762,a
1588745833788,26778,c
1588745833917,26907,h
1588745833978,26968,e
1588745834141,27131,s
1588745834316,27306, 
1588745834606,27596,t
1588745834784,27774,o
1588745834948,27938, 
1588745835142,28132,l
1588745835315,28305,a
1588745835435,28425,n
1588745835549,28539,g
1588745835629,28619,u
1588745835728,28718,a
1588745835837,28827,g
1588745835914,28904,e
1588745836029,29019, 
1588745836208,29198,u
1588745836400,29390,n
1588745836465,29455,d
1588745836730,29720,e
1588745836787,29777,r
1588745836955,29945,s
1588745837060,30050,t
1588745837129,30119,a
1588745837249,30239,n
1588745837355,30345,d
1588745837468,30458,i
1588745837691,30681,n
1588745837796,30786,g
1588745837904,30894, 
1588745838308,31298,t
1588745838340,31330,a
1588745838425,31415,s
1588745838587,31577,k
1588745838691,31681,s
1588745838809,31799, 
1588745838997,31987,s
1588745839109,32099,u
1588745839254,32244,c
1588745839307,32297,h
1588745839452,32442, 
1588745839600,32590,a
1588745839680,32670,s
1588745839765,32755, 
1588745840178,33168,a
1588745841042,34032,Backspace
1588745841194,34184,Backspace
1588745841581,34571, 
1588745841881,34871,l
1588745842118,35108,a
1588745842255,35245,n
1588745842380,35370,g
1588745842457,35447,u
1588745842558,35548,a
1588745842647,35637,g
1588745842787,35777,e
1588745842894,35884, 
1588745843193,36183,m
1588745843432,36422,o
1588745843513,36503,d
1588745843690,36680,e
1588745843778,36768,l
1588745843942,36932,i
1588745844119,37109,n
1588745844200,37190,g
1588745844844,37834,comma
1588745845037,38027, 
1588745845334,38324,m
1588745845555,38545,a
1588745845595,38585,c
1588745845640,38630,h
1588745845795,38785,i
1588745845981,38971,n
1588745846038,39028,e
1588745846151,39141, 
1588745846465,39455,t
1588745846655,39645,r
1588745846724,39714,a
1588745846892,39882,n
1588745847000,39990,s
1588745847132,40122,l
1588745847238,40228,a
1588745847345,40335,t
1588745847510,40500,i
1588745847590,40580,o
1588745847763,40753,n
1588745848372,41362, 
1588745848465,41455,a
1588745848616,41606,n
1588745848668,41658,d
1588745848807,41797, 
1588745848937,41927,q
1588745849065,42055,u
1588745849139,42129,e
1588745849340,42330,s
1588745849428,42418,t
1588745849592,42582,i
1588745849656,42646,o
1588745849852,42842,n
1588745850015,43005, 
1588745850184,43174,a
1588745850334,43324,n
1588745850407,43397,s
1588745850648,43638,w
1588745850737,43727,e
1588745850778,43768,r
1588745850896,43886,i
1588745851083,44073,n
1588745851742,44732,.
1588745852100,45090, 
1588745852645,45635,Backspace
1588745852766,45756,Backspace
1588745853517,46507,g
1588745853779,46769,.
1588745854224,47214, 
1588745855076,48066,i
1588745855279,48269,n
1588745855467,48457, 
1588745855655,48645,a
1588745855787,48777,t
1588745855932,48922,t
1588745856081,49071,e
1588745856225,49215,n
1588745856310,49300,t
1588745856575,49565,i
1588745856640,49630,o
1588745856813,49803,n
1588745856959,49949, 
1588745857072,50062,i
1588745857174,50164,s
1588745857285,50275, 
1588745857399,50389,a
1588745857496,50486,l
1588745857643,50633,l
1588745857805,50795, 
1588745858021,51011,y
1588745858161,51151,o
1588745858281,51271,u
1588745858564,51554, 
1588745858769,51759,n
1588745858847,51837,e
1588745859004,51994,e
1588745859212,52202,d
1588745859293,52283, 
1588745861629,54619,Backspace
1588745861951,54941,comma
1588745862150,55140, 
1588745862495,55485,w
1588745862539,55529,e
1588745862725,55715, 
1588745863056,56046,i
1588745863348,56338,n
1588745863488,56478,t
1588745863636,56626,r
1588745863696,56686,o
1588745864134,57124,d
1588745864266,57256,u
1588745864439,57429,c
1588745864523,57513,e
1588745864662,57652, 
1588745864805,57795,t
1588745864905,57895,h
1588745864989,57979,e
1588745865127,58117, 
1588745865890,58880,Shift
1588745868227,61217,t
1588745868395,61385,r
1588745868512,61502,a
1588745868711,61701,n
1588745868819,61809,s
1588745869089,62079,f
1588745869240,62230,o
1588745869367,62357,r
1588745869762,62752,m
1588745869931,62921,e
1588745869979,62969,r
1588745870429,63419,comma
1588745870620,63610, 
1588745870786,63776,a
1588745870907,63897, 
1588745871710,64700,n
1588745871902,64892,o
1588745871987,64977,v
1588745872183,65173,e
1588745872425,65415,m
1588745873329,66319,Backspace
1588745873604,66594,l
1588745873829,66819, 
1588745874454,67444,n
1588745874576,67566,e
1588745874711,67701,u
1588745874944,67934,r
1588745874956,67946,a
1588745875064,68054,l
1588745875236,68226, 
1588745875475,68465,n
1588745875588,68578,e
1588745875687,68677,t
1588745875776,68766,w
1588745875885,68875,o
1588745876018,69008,r
1588745876094,69084,k
1588745876264,69254, 
1588745876468,69458,a
1588745876516,69506,r
1588745876890,69880,c
1588745877002,69992,h
1588745877188,70178,i
1588745877314,70304,t
1588745877390,70380,e
1588745877530,70520,c
1588745877720,70710,t
1588745877857,70847,u
1588745878021,71011,r
1588745878061,71051,e
1588745878202,71192, 
1588745878824,71814,b
1588745878941,71931,a
1588745879009,71999,s
1588745879158,72148,e
1588745879325,72315,d
1588745879459,72449, 
1588745879692,72682,o
1588745879873,72863,n
1588745880116,73106, 
1588745880318,73308,a
1588745880426,73416, 
1588745880760,73750,s
1588745880925,73915,e
1588745881107,74097,l
1588745881211,74201,f
1588745881344,74334, 
1588745881760,74750,a
1588745881901,74891,t
1588745882066,75056,t
1588745882159,75149,e
1588745882309,75299,n
1588745882422,75412,t
1588745882655,75645,i
1588745882691,75681,o
1588745882872,75862,n
1588745883033,76023, 
1588745883229,76219,m
1588745883373,76363,a
1588745883823,76813,Backspace
1588745883919,76909,e
1588745884061,77051,c
1588745884145,77135,h
1588745884335,77325,a
1588745884453,77443,n
1588745884667,77657,i
1588745884966,77956,s
1588745885143,78133,m
1588745885328,78318, 
1588745885736,78726,t
1588745885851,78841,h
1588745886015,79005,a
1588745886083,79073,t
1588745886180,79170, 
1588745886367,79357,w
1588745886403,79393,e
1588745886492,79482, 
1588745886701,79691,b
1588745886782,79772,e
1588745886944,79934,l
1588745887114,80104,i
1588745887183,80173,e
1588745887357,80347,v
1588745887529,80519,e
1588745887654,80644, 
1588745887891,80881,t
1588745887953,80943,o
1588745888084,81074, 
1588745888263,81253,b
1588745888367,81357,e
1588745888443,81433, 
1588745888956,81946,p
1588745889121,82111,a
1588745889165,82155,r
1588745889364,82354,t
1588745889412,82402,i
1588745889711,82701,c
1588745889795,82785,u
1588745889966,82956,l
1588745890077,83067,a
1588745890149,83139,r
1588745890283,83273,l
1588745890395,83385,y
1588745890508,83498, 
1588745890641,83631,w
1588745890697,83687,e
1588745890782,83772,l
1588745890928,83918,l
1588745891073,84063, 
1588745891196,84186,s
1588745891309,84299,u
1588745891496,84486,i
1588745891664,84654,t
1588745891720,84710,e
1588745891899,84889,d
1588745892003,84993, 
1588745892425,85415,t
1588745892478,85468,o
1588745892661,85651, 
1588745892825,85815,l
1588745892991,85981,a
1588745893135,86125,n
1588745893263,86253,g
1588745893327,86317,u
1588745893448,86438,a
1588745893544,86534,g
1588745893643,86633,e
1588745893736,86726, 
1588745894070,87060,u
1588745894265,87255,n
1588745894269,87259,d
1588745894530,87520,e
1588745894590,87580,r
1588745894785,87775,s
1588745894888,87878,t
1588745894965,87955,a
1588745895092,88082,n
1588745895190,88180,d
1588745895288,88278,i
1588745895453,88443,n
1588745895528,88518,g
1588745896348,89338,.
1588745896745,89735, 
1588745899037,92027,i
1588745899222,92212,n
1588745899403,92393, 
1588745899680,92670,o
1588745900725,93715,u
1588745900839,93829,r
1588745900934,93924, 
1588745901174,94164,p
1588745901267,94257,a
1588745901401,94391,o
1588745902646,95636,e
1588745902706,95696,r
1588745902996,95986,Backspace
1588745903140,96130,Backspace
1588745903363,96353,Backspace
1588745903831,96821,p
1588745904055,97045,e
1588745904099,97089,r
1588745904267,97257,comma
1588745904433,97423, 
1588745905267,98257,w
1588745905319,98309,e
1588745905425,98415, 
1588745905555,98545,s
1588745905639,98629,h
1588745905769,98759,o
1588745905822,98812,w
1588745905963,98953, 
1588745906110,99100,t
1588745906234,99224,h
1588745906356,99346,a
1588745906424,99414,t
1588745906512,99502, 
1588745906634,99624,t
1588745906704,99694,h
1588745906769,99759,e
1588745906915,99905, 
1588745907000,99990,t
1588745907184,100174,r
1588745907265,100255,a
1588745907445,100435,n
1588745907525,100515,s
1588745907728,100718,f
1588745907833,100823,o
1588745907985,100975,e
1588745908053,101043,r
1588745908370,101360, 
1588745909013,102003,o
1588745909168,102158,u
1588745909309,102299,t
1588745909552,102542,Backspace
1588745909668,102658,Backspace
1588745909782,102772,Backspace
1588745909900,102890,Backspace
1588745910232,103222,Backspace
1588745910676,103666,Backspace
1588745910967,103957,m
1588745911117,104107,e
1588745911172,104162,r
1588745911273,104263, 
1588745912182,105172,o
1588745912390,105380,u
1588745912509,105499,t
1588745913162,106152,p
1588745913394,106384,e
1588745913430,106420,r
1588745913602,106592,f
1588745913720,106710,o
1588745913793,106783,r
1588745913939,106929,m
1588745914043,107033,s
1588745914169,107159, 
1588745916926,109916,b
1588745917121,110111,o
1588745917272,110262,t
1588745917293,110283,h
1588745917644,110634,h
1588745918312,111302,Backspace
1588745918690,111680, 
1588745918919,111909,r
1588745918947,111937,e
1588745919137,112127,c
1588745919231,112221,u
1588745919302,112292,r
1588745919533,112523,r
1588745919578,112568,e
1588745919690,112680,n
1588745919829,112819,t
1588745919929,112919, 
1588745920048,113038,a
1588745920176,113166,n
1588745920273,113263,d
1588745920373,113363, 
1588745920536,113526,c
1588745920679,113669,o
1588745920859,113849,l
1588745922425,115415,Backspace
1588745922785,115775,n
1588745923061,116051,v
1588745923234,116224,o
1588745923381,116371,l
1588745923569,116559,u
1588745923691,116681,t
1588745923760,116750,i
1588745923896,116886,o
1588745924078,117068,n
1588745924266,117256,a
1588745924334,117324,l
1588745924478,117468, 
1588745924991,117981,m
1588745925187,118177,o
1588745925310,118300,d
1588745925477,118467,e
1588745925608,118598,l
1588745925705,118695,s
1588745925824,118814, 
1588745928165,121155,o
1588745928312,121302,n
1588745928510,121500, 
1588745928659,121649,a
1588745928738,121728,c
1588745928847,121837,a
1588745928969,121959,d
1588745929156,122146,e
1588745929264,122254,m
1588745929439,122429,i
1588745929516,122506,c
1588745929657,122647, 
1588745929854,122844,e
1588745929968,122958,n
1588745930135,123125,g
1588745930187,123177,l
1588745930357,123347,i
1588745930515,123505,s
1588745930542,123532,h
1588745930703,123693, 
1588745931172,124162,t
1588745931237,124227,o
1588745931402,124392, 
1588745931558,124548,g
1588745931830,124820,e
1588745931890,124880,r
1588745932406,125396,m
1588745932552,125542,a
1588745932632,125622,n
1588745933011,126001, 
1588745933168,126158,a
1588745933292,126282,n
1588745933383,126373,d
1588745933495,126485, 
1588745933942,126932,e
1588745934233,127223,n
1588745934366,127356,g
1588745934465,127455,l
1588745934640,127630,i
1588745934764,127754,s
1588745934844,127834,h
1588745935005,127995, 
1588745936273,129263,t
1588745936340,129330,o
1588745936541,129531, 
1588745936643,129633,f
1588745936865,129855,r
1588745936897,129887,e
1588745936985,129975,n
1588745937122,130112,c
1588745937170,130160,h
1588745937342,130332, 
1588745937460,130450,t
1588745937643,130633,r
1588745937707,130697,a
1588745937830,130820,n
1588745937943,130933,s
1588745938080,131070,l
1588745938198,131188,a
1588745938310,131300,t
1588745938489,131479,i
1588745938558,131548,o
1588745938809,131799,n
1588745939035,132025, 
1588745939516,132506,b
1588745939623,132613,e
1588745939735,132725,n
1588745939868,132858,c
1588745939909,132899,h
1588745940111,133101,m
1588745940244,133234,a
1588745940299,133289,r
1588745940368,133358,k
1588745940500,133490,s
1588745940988,133978,.
1588745941299,134289, 
1588745941883,134873,o
1588745942024,135014,n
1588745942182,135172, 
1588745942340,135330,t
1588745942548,135538,o
1588745942790,135780,p
1588745943011,136001, 
1588745943240,136230,o
1588745943341,136331,f
1588745943451,136441, 
1588745943691,136681,h
1588745943848,136838,i
1588745944000,136990,g
1588745944305,137295,h
1588745944540,137530,e
1588745944581,137571,r
1588745944685,137675, 
1588745945186,138176,t
1588745945340,138330,r
1588745945416,138406,a
1588745945562,138552,n
1588745945662,138652,s
1588745945793,138783,l
1588745945917,138907,a
1588745946014,139004,t
1588745946205,139195,i
1588745946333,139323,o
1588745946501,139491,n
1588745946803,139793, 
1588745946932,139922,q
1588745947037,140027,u
1588745947179,140169,a
1588745947268,140258,l
1588745947441,140431,i
1588745947576,140566,t
1588745947663,140653,y
1588745948691,141681,comma
1588745948947,141937, 
1588745951023,144013,t
1588745951152,144142,h
1588745951249,144239,e
1588745951392,144382, 
1588745951526,144516,t
1588745951714,144704,r
1588745951779,144769,a
1588745951912,144902,n
1588745952001,144991,s
1588745952263,145253,f
1588745952385,145375,o
1588745952575,145565,e
1588745952654,145644,r
1588745953747,146737,Backspace
1588745953910,146900,Backspace
1588745954098,147088,r
1588745954244,147234,m
1588745954390,147380,e
1588745954441,147431,r
1588745954530,147520, 
1588745955053,148043,r
1588745955090,148080,e
1588745955245,148235,q
1588745955436,148426,u
1588745955578,148568,i
1588745955733,148723,r
1588745955790,148780,e
1588745955963,148953,s
1588745956060,149050, 
1588745956233,149223,l
1588745956429,149419,e
1588745956587,149577,s
1588745956749,149739,s
1588745956871,149861, 
1588745957017,150007,c
1588745957134,150124,o
1588745957290,150280,m
1588745957630,150620,p
1588745957794,150784,u
1588745957950,150940,t
1588745958096,151086,a
1588745958208,151198,t
1588745958348,151338,i
1588745958497,151487,o
1588745958679,151669,n
1588745958828,151818, 
1588745958944,151934,t
1588745958999,151989,o
1588745959162,152152, 
1588745959215,152205,t
1588745959449,152439,r
1588745959512,152502,a
1588745959552,152542,i
1588745959717,152707,n
1588745959870,152860, 
1588745959998,152988,a
1588745960121,153111,n
1588745960226,153216,d
1588745960389,153379, 
1588745960525,153515,i
1588745960610,153600,s
1588745960695,153685, 
1588745960819,153809,a
1588745960903,153893, 
1588745961062,154052,m
1588745961231,154221,u
1588745961370,154360,c
1588745961425,154415,h
1588745961568,154558, 
1588745961725,154715,b
1588745961802,154792,e
1588745961971,154961,t
1588745962237,155227,t
1588745962547,155537,e
1588745962595,155585,r
1588745962708,155698, 
1588745963044,156034,f
1588745963153,156143,i
1588745963258,156248,t
1588745963377,156367, 
1588745963505,156495,f
1588745963624,156614,o
1588745963769,156759,r
1588745963904,156894, 
1588745964071,157061,m
1588745964262,157252,o
1588745964299,157289,d
1588745964555,157545,e
1588745964611,157601,r
1588745964697,157687,n
1588745964857,157847, 
1588745965032,158022,m
1588745965191,158181,a
1588745965295,158285,c
1588745965356,158346,h
1588745965521,158511,i
1588745965732,158722,n
1588745966300,159290,e
1588745966436,159426, 
1588745966639,159629,l
1588745966839,159829,a
1588745966848,159838,e
1588745966906,159896,r
1588745966948,159938,n
1588745967122,160112,i
1588745967284,160274,n
1588745967380,160370,g
1588745967425,160415, 
1588745967598,160588,h
1588745967706,160696,a
1588745967939,160929,r
1588745968108,161098,d
1588745968307,161297,w
1588745968492,161482,a
1588745968632,161622,r
1588745968685,161675,e
1588745968864,161854,comma
1588745969101,162091, 
1588745969487,162477,s
1588745969700,162690,p
1588745969737,162727,e
1588745969886,162876,e
1588745970103,163093,d
1588745970161,163151,i
1588745970348,163338,n
1588745970448,163438,g
1588745970529,163519, 
1588745970732,163722,u
1588745970945,163935,p
1588745971131,164121, 
1588745971245,164235,t
1588745971453,164443,r
1588745971533,164523,a
1588745971601,164591,i
1588745971783,164773,n
1588745971951,164941,i
1588745972134,165124,n
1588745972270,165260,g
1588745972338,165328, 
1588745972484,165474,b
1588745972643,165633,y
1588745972838,165828, 
1588745973401,166391,u
1588745973578,166568,p
1588745973800,166790, 
1588745974119,167109,t
1588745974212,167202,o
1588745974401,167391, 
1588745974568,167558,a
1588745974837,167827,n
1588745975172,168162, 
1588745975372,168362,o
1588745975489,168479,r
1588745975601,168591,d
1588745975826,168816,e
1588745975879,168869,r
1588745975951,168941, 
1588745976106,169096,o
1588745976199,169189,f
1588745976294,169284, 
1588745976501,169491,m
1588745976631,169621,a
1588745976767,169757,g
1588745977352,170342,n
1588745977546,170536,i
1588745977695,170685,t
1588745977809,170799,u
1588745977888,170878,d
1588745978079,171069,e
1588745978197,171187,.
1588745978531,171521, 
1588745985929,178919,n
1588745986030,179020,e
1588745986170,179160,u
1588745986347,179337,r
1588745986399,179389,a
1588745986498,179488,l
1588745986650,179640, 
1588745986824,179814,n
1588745986984,179974,e
1588745987061,180051,t
1588745987210,180200,w
1588745987321,180311,o
1588745987470,180460,r
1588745987559,180549,k
1588745987681,180671,s
1588745987772,180762, 
1588745987969,180959,u
1588745988072,181062,s
1588745988155,181145,u
1588745988277,181267,a
1588745988396,181386,;
1588745988538,181528,;
1588745988639,181629,y
1588745989548,182538,Backspace
1588745989713,182703,Backspace
1588745989918,182908,Backspace
1588745990418,183408,l
1588745990580,183570,l
1588745990710,183700,y
1588745990825,183815, 
1588745991611,184601,p
1588745991893,184883,r
1588745992007,184997,o
1588745992126,185116,c
1588745992309,185299,e
1588745992444,185434,s
1588745992588,185578,s
1588745992825,185815, 
1588745993228,186218,l
1588745993418,186408,a
1588745993527,186517,n
1588745993651,186641,g
1588745993728,186718,u
1588745993759,186749,a
1588745993822,186812,a
1588745993953,186943,g
1588745994046,187036,e
1588745994188,187178, 
1588745994545,187535,b
1588745994697,187687,y
1588745994879,187869, 
1588745995287,188277,g
1588745995438,188428,e
1588745995583,188573,n
1588745995651,188641,e
1588745995747,188737,r
1588745995836,188826,a
1588745996017,189007,t
1588745996054,189044,i
1588745996236,189226,n
1588745996351,189341,g
1588745996471,189461, 
1588745999305,192295,f
1588745999413,192403,i
1588745999729,192719,x
1588745999917,192907,e
1588746000116,193106,d
1588746000277,193267,-
1588746001125,194115, 
1588746001543,194533,o
1588746001655,194645,r
1588746001771,194761, 
1588746002110,195100,v
1588746002263,195253,a
1588746002335,195325,r
1588746002416,195406,i
1588746002525,195515,a
1588746002719,195709,b
1588746002835,195825,l
1588746002923,195913,e
1588746003259,196249,-
1588746003619,196609,l
1588746003749,196739,e
1588746003910,196900,n
1588746004010,197000,g
1588746004190,197180,t
1588746004251,197241,h
1588746004411,197401, 
1588746004971,197961,v
1588746005140,198130,e
1588746005297,198287,c
1588746005516,198506,t
1588746005625,198615,o
1588746005709,198699,r
1588746006657,199647,-
1588746006863,199853,s
1588746007103,200093,p
1588746007232,200222,a
1588746007874,200864,c
1588746008156,201146, 
1588746008812,201802,Backspace
1588746009055,202045,e
1588746009222,202212, 
1588746009673,202663,r
1588746009701,202691,e
1588746009988,202978,p
1588746010100,203090,r
1588746010124,203114,e
1588746010289,203279,s
1588746010383,203373,e
1588746010540,203530,n
1588746010592,203582,t
1588746010732,203722,a
1588746010833,203823,t
1588746010957,203947,i
1588746011134,204124,o
1588746011309,204299,n
1588746011421,204411,s
1588746012031,205021,.
1588746012248,205238, 
1588746012493,205483,A
1588746012498,205488,Shift
1588746012702,205692,f
1588746013021,206011,t
1588746013448,206438,e
1588746013500,206490,r
1588746013832,206822, 
1588746014100,207090,s
1588746014208,207198,t
1588746014413,207403,a
1588746014449,207439,r
1588746014662,207652,t
1588746014760,207750,i
1588746014955,207945,n
1588746015063,208053,g
1588746015163,208153, 
1588746015272,208262,w
1588746015402,208392,i
1588746015542,208532,t
1588746015614,208604,h
1588746015797,208787, 
1588746016020,209010,r
1588746016068,209058,e
1588746016246,209236,p
1588746016380,209370,r
1588746016399,209389,e
1588746016571,209561,s
1588746016702,209692,e
1588746016828,209818,n
1588746016892,209882,t
1588746017016,210006,a
1588746017144,210134,t
1588746017308,210298,i
1588746017413,210403,o
1588746017672,210662,n
1588746017850,210840,s
1588746017989,210979, 
1588746018174,211164,o
1588746018272,211262,f
1588746018384,211374, 
1588746018777,211767,i
1588746019221,212211,n
1588746019383,212373,d
1588746019495,212485,i
1588746019600,212590,v
1588746019687,212677,i
1588746019814,212804,d
1588746021141,214131,u
1588746021307,214297,a
1588746021408,214398,l
1588746021582,214572, 
1588746021687,214677,w
1588746021793,214783,o
1588746021918,214908,r
1588746022179,215169,d
1588746022232,215222,s
1588746022343,215333, 
1588746023012,216002,o
1588746023147,216137,r
1588746023318,216308, 
1588746023444,216434,e
1588746023632,216622,v
1588746023822,216812,e
1588746023930,216920,n
1588746024088,217078, 
1588746024361,217351,p
1588746024594,217584,i
1588746024706,217696,e
1588746024883,217873,c
1588746024959,217949,e
1588746025123,218113,s
1588746025227,218217, 
1588746025405,218395,o
1588746025481,218471,f
1588746025600,218590, 
1588746025697,218687,w
1588746025826,218816,o
1588746025920,218910,r
1588746026206,219196,d
1588746026266,219256,s
1588746026604,219594,comma
1588746026811,219801, 
1588746027899,220889,t
1588746027996,220986,h
1588746028128,221118,e
1588746028227,221217,y
1588746028385,221375, 
1588746028512,221502,a
1588746028675,221665,g
1588746028829,221819,g
1588746029183,222173,r
1588746029235,222225,e
1588746029451,222441,g
1588746029553,222543,a
1588746029742,222732,t
1588746029777,222767,e
1588746029931,222921, 
1588746031283,224273,i
1588746031516,224506,n
1588746031614,224604,f
1588746031737,224727,o
1588746031822,224812,r
1588746031962,224952,m
1588746032118,225108,a
1588746032193,225183,t
1588746032346,225336,i
1588746032438,225428,o
1588746032591,225581,n
1588746032772,225762, 
1588746032886,225876,f
1588746033091,226081,r
1588746033172,226162,o
1588746033323,226313,m
1588746033485,226475, 
1588746033951,226941,s
1588746034065,227055,u
1588746034173,227163,r
1588746034351,227341,r
1588746034954,227944,o
1588746035118,228108,u
1588746035280,228270,n
1588746035429,228419,d
1588746035538,228528,i
1588746035716,228706,n
1588746035843,228833,g
1588746035943,228933, 
1588746036077,229067,w
1588746036211,229201,o
1588746036331,229321,r
1588746036684,229674,d
1588746036724,229714,s
1588746036845,229835, 
1588746037028,230018,t
1588746037119,230109,o
1588746037287,230277, 
1588746037422,230412,d
1588746037603,230593,e
1588746037723,230713,t
1588746037946,230936,e
1588746038014,231004,r
1588746038535,231525,m
1588746038816,231806,i
1588746039001,231991,n
1588746039109,232099,e
1588746039270,232260, 
1588746039351,232341,t
1588746039465,232455,h
1588746039546,232536,e
